Publisher Name,Type,Location,Country,Genres/Focus,Best Contact Name,Best Contact Title,Best Contact Email,Phone,Website,Executive Summary,Recent Books (2024-2025),Notable Authors,Annual Output,Audiobook Status,ICP Score,Priority Tier,LinkedIn,Outreach Notes
BOA Editions,Nonprofit,Rochester NY,USA,"Poetry, short fiction, translations",Peter Conners,Editorial Director,contact@boaeditions.org,N/A,boaeditions.org,"Nonprofit literary publisher since 1976. 300+ books. Multiple prestigious awards including James Laughlin Awards, Lambda, Whiting, Lenore Marshall Prize.","d-sorientation by Charleen McClure (2024); The Strange God that Makes Us by Christopher Kennedy (2024); One Wild Word Away by Geffrey Davis (2024)","Li-Young Lee, Lucille Clifton, W.D. Snodgrass, Naomi Shihab Nye, Brigit Pegeen Kelly",15-20,NO AUDIOBOOKS,82,TIER 1,N/A,"Benjamin Thompson handles press (thompson@boaeditions.org). A. Poulin Jr. Poetry Prize for debut collections. Poetry audio niche opportunity."
Tuttle Publishing,Traditional,North Clarendon VT,USA,"Asian culture, cookbooks, martial arts, origami, language",Devon Halliday,Associate Editor,Via website,(802) 773-8930,tuttlepublishing.com,"Premier publisher of English books on Asian culture since 1948. Part of Periplus Publishing Group. 6000+ backlist titles. Offices in VT, Singapore, Tokyo.","Asian cuisine cookbooks, sushi-making guides, martial arts manuals, origami books","Asian culture experts, martial arts masters, Japanese cuisine chefs",150,NO AUDIOBOOKS,89,TIER 1,N/A,"Noriko Netsu is Senior Editor. Accepts unagented submissions. Huge backlist = massive audiobook opportunity. Contact (800) 526-2778."
Charlesbridge Publishing,Traditional,Watertown MA,USA,"Children's books, YA, educational nonfiction",Yolanda Scott,VP & Publisher,development@charlesbridge.com,N/A,charlesbridge.com,"Independent children's publisher since 1989. High-quality diverse content for children and young adults. Move Books imprint for diverse middle-grade.","Popo the Xolo (2025); Just in Case (2025); Jellyfish Scientist (2025); Women on a Mission (2025)","Christine Taylor-Butler, Paul Greci",25-30,NO AUDIOBOOKS,88,TIER 1,linkedin.com/company/charlesbridge-publishing,"Strong educational niche. Children's submissions: childrens.submissions@charlesbridge.com"
Coffee House Press,Nonprofit,Minneapolis MN,USA,"Experimental literature, poetry, creative nonfiction",Linda A. Ewing,Executive Director,info@coffeehousepress.org,(612) 338-0125,coffeehousepress.org,"Nonprofit founded 1972. Specializes in experimental and genre-defying literature. 300+ books published, 250+ in print.","Good Night Sleep Tight by Brian Evenson (Fall 2024); Lesser Ruins by Mark Haber (Fall 2024); Cecilia by K-Ming Chang (Spring 2024)","Brian Evenson, K-Ming Chang, Karen Tei Yamashita, Eugene Lim",15-20,NO AUDIOBOOKS,86,TIER 1,linkedin.com/company/coffee-house-press,"Strong literary nonprofit. Experimental content = unique audio opportunity."
Akashic Books,Traditional,Brooklyn NY,USA,"Urban literary fiction, political nonfiction, noir series",Johnny Temple,Founder/Publisher/Editor-in-Chief,info@akashicbooks.com,(718) 643-9193,akashicbooks.com,"Brooklyn-based indie since 1997. Dedicated to urban literary fiction. Over 500 books. Known for influential international Noir series.","82nd Division by D.M. Aderibigbe (Dec 2025); Watch Out for Falling Iguanas by Edwidge Danticat (Jul 2025); False Idols by K'wan (Jul 2024)","Edwidge Danticat, Kwame Dawes, Chris Abani, Dennis Cooper, Lawrence Block, Adam Mansbach",15-20,NO AUDIOBOOKS,87,TIER 1,linkedin.com/company/akashic-books,"Noir series huge audiobook potential. Urban fiction growing audio market."
Small Beer Press,Traditional,Easthampton MA,USA,"Fantasy, literary fiction, speculative",Gavin Grant & Kelly Link,Co-Founders/Publishers,info@smallbeerpress.com,N/A,smallbeerpress.com,"Founded 2000. Fantasy and literary fiction. Also publishes Lady Churchill's Rosebud Wristlet. NOTE: Currently for sale as of 2025; closed to submissions since March 2023.","The Book of Love by Kelly Link (limited editions)","Kelly Link, Ray Vukcevich, Jennifer Hudak (Nebula finalist)",6-10,NO AUDIOBOOKS,84,TIER 1,linkedin.com/company/small-beer-press,"Prestigious backlist. Currently for sale - potential acquisition opportunity."
World Weaver Press,Traditional,Albuquerque NM,USA,"Fantasy, paranormal, science fiction, solarpunk",Sarena Ulibarri,Editor-in-Chief,Via website,N/A,worldweaverpress.com,"Founded 2012. Focus on uplifting speculative fiction, often with romantic elements. Strong anthology program.","Solarpunk Creatures (Jan 2024); Speculative Story Bites; Multispecies Cities; Glass and Gardens anthology","Sarena Ulibarri, Christopher Rupprecht, Deborah Cleland",10,NO AUDIOBOOKS,85,TIER 1,N/A,"Solarpunk niche growing. All-female team. Anthologies = multiple authors for audio."
Apex Publications,Traditional,Lexington KY,USA,"Science fiction, horror, fantasy, speculative nonfiction",Jason B. Sizemore,Founder/Owner/Publisher,jason@apexbookcompany.com,N/A,apexbookcompany.com,"Founded 2005. Publishes Apex Magazine (thrice Hugo-nominated). Violet Lichen Books imprint founded 2024 for darker literary speculative.","Island of the Dead by Brian Keene (2024); Breath of Life by LH Moore (2024); The Map of Lost Places (Apr 2025)","Brian Keene, LH Moore, Jason Sanford",12-15,NO AUDIOBOOKS,88,TIER 1,linkedin.com/company/apex-book-company,"Hugo-nominated magazine. Horror/SF backlist for audio. Contact jason@apexbookcompany.com"
Black Lyon Publishing,Traditional,Baker City OR,USA,"Romance fiction all subgenres",Kerry McQuisten,Owner/Founder,kerry@blacklyonpublishing.com,(541) 523-5173,blacklyonpublishing.com,"Founded 2007. Traditional mid-sized Oregon romance publisher. RWA-recognized. Publishes print, audio, and Kindle.","Romance fiction across all subgenres","Amber Leigh Williams",10-20,NO AUDIOBOOKS,86,TIER 1,linkedin.com/company/black-lyon-publishing,"RWA recognized. Romance = massive audio market. Contact Kerry directly."
City Owl Press,Traditional,Staten Island NY,USA,"Romance, paranormal, fantasy, horror, mystery",Yelena Casale & Tina Moss,CMO/Exec Editor & COO,mcain@cityowlpress.com,N/A,cityowlpress.com,"Founded 2014 by USA Today Bestselling Authors. Two Rivers Distribution deal Feb 2025. Mystic Owl imprint.","Charissa Weaks debut (Oct 2025); Various romance and speculative titles","Yelena Casale, Tina Moss (USA Today Bestsellers)",15-25,NO AUDIOBOOKS,87,TIER 1,linkedin.com/company/city-owl-press,"Major distribution deal. USA Today bestseller founders. Growing rapidly."
Decadent Publishing,Traditional,Klawock AK,USA,"Romance fiction, fantasy, erotica, LGBTQIA2S+",Lisa Omstead,Owner,decadentpublishing@gmail.com,(907) 755-2174,decadentpublishing.com,"Alaska-based romance publisher. Open to any heat level. LGBTQIA2S+ inclusive. 561+ books published.","Diverse romance fiction across heat levels and subgenres","Various romance authors across subgenres",20-30,NO AUDIOBOOKS,85,TIER 1,N/A,"Huge catalog (561+ books). Diverse romance for audio. Direct owner contact."
Tell-Tale Publishing,Traditional,Swartz Creek MI,USA,"Romance, fantasy, steampunk, horror, paranormal, mystery, YA",Elizabeth Fortin & Jan Rodriguez,President/CEO & CFO,Via website,(520) 639-6945,tell-talepublishing.com,"Founded 2009. Six imprints: Dahlia (romance), Stargazer (fantasy), Nightshade (horror), Casablanca (mystery), Thistle (YA), Deja Vu (reprints). EBook focus with POD.","Primarily anthologies as of 2025","Authors across six genre imprints",Reduced to anthologies,NO AUDIOBOOKS,82,TIER 1,linkedin.com/company/tell-tale-publishing,"Multiple genre imprints. Anthologies = multiple authors for audio."
NineStar Press,Traditional,New Mexico,USA,"LGBTQIA+ romance, literary fiction",Raevyn Greenwood,Editor/Founder,raevyn@ninestarpress.com,N/A,ninestarpress.com,"Boutique LGBTQIA+ publisher owned and managed by LGBTQIA+ people. Founded 2015. Authentic queer storytelling.","Together in a Broken World by Paul Michael Winters (May 2024); The Weight of Living by M.A. Hinkle (Feb 2025)","Paul Michael Winters, M.A. Hinkle, Jessica Lascar, Timoteo Tong",40-50,NO AUDIOBOOKS,89,TIER 1,N/A,"LGBTQ+ romance booming in audio. Direct editor contact. High volume."
Bella Books,Traditional,Tallahassee FL,USA,"Lesbian fiction, sapphic romance, mystery",Staff Team,Acquisitions,Via website,(850) 576-2370,bellabooks.com,"Largest lesbian-owned press devoted to women-loving-women fiction. Founded 2001. 24-30 titles yearly.","Lake of Secrets by Frances Lucas (Jul 2025); Crash and Burn by KP Evans (Aug 2025); Blood of the Innocents by Catherine Maiorsi (Jun 2025)","Frances Lucas, KP Evans, Catherine Maiorsi, Katherine Rupley",24-30,NO AUDIOBOOKS,88,TIER 1,linkedin.com/company/bella-books,"Largest lesbian press. Sapphic romance = growing audio niche. Phone contact available."
Blind Eye Books,Traditional,Bellingham WA,USA,"LGBTQ+ science fiction, fantasy, mystery, romance",Nicole Kimberling,Editor in Chief,editor@blindeyebooks.com,N/A,blindeyebooks.com,"Publishes SF, fantasy, mystery, romance featuring LGBTQ protagonists. 70K-150K word requirements.","Reclaimed by Seth Haddon (Oct 2024); Price of a Thousand Blessings by Ginn Hale (Apr 2025); Reforged by Seth Haddon (2024)","Seth Haddon, Ginn Hale, Nicole Kimberling",20-30,NO AUDIOBOOKS,87,TIER 1,linkedin.com/company/blind-eye-books,"LGBTQ+ SFF niche. Direct editor contact. Quality literary fiction."
JMS Books,Traditional,Petersburg VA,USA,"LGBTQ+ erotic romance, YA romance",J.M. Snyder,Owner/Publisher,Via website,N/A,jms-books.com,"Small electronic press publishing LGBTQ+ erotic romance, romance, and YA. M/m, lesbian, bi, trans narratives. 20K-90K word range.","The Things We Hide At Home by Nem Rowan (2025); Various m/m and trans romance","J.M. Snyder, Steven A. Coulter, Nem Rowan",20-40,NO AUDIOBOOKS,84,TIER 1,linkedin.com/company/jmsbooksllc,"Electronic focus. LGBTQ+ romance audio growing. Owner-operated."
Boroughs Publishing Group,Traditional,Ventura CA,USA,"Romance fiction all varieties",Staff Team,Acquisitions,Via website,N/A,boroughspublishinggroup.com,"E-publisher specializing in romance variety: contemporary, dystopian, erotica, fantasy, historical, LGBTQ+, paranormal, suspense, urban fantasy. Boroughs Book Club.","Multiple 2024-2025 releases across romance subgenres","Bill Blodgett, Gloria Gay, Ava Vixion, Lyn Austin, Michele James",20-40,NO AUDIOBOOKS,85,TIER 1,N/A,"Full romance spectrum. E-publisher = digital-first mentality for audio."
Evernight Publishing,Traditional,Barrie ON,Canada,"Romance all subgenres, erotica",Sofia Aves,Acquisitions Editor,acquisitions@evernightpublishing.com,N/A,evernightpublishing.com,"Premier smart & sexy romance eBooks. All romance subgenres including BDSM, paranormal, sci-fi, contemporary. 10K-100K word range. 12-week response.","Multiple 2024-2025 romance/erotica releases","Laura Horwitz (Lola Drake), Sofia Aves, Dania Voss, Gale Stanley, Virginia Nelson",30-50,NO AUDIOBOOKS,86,TIER 1,N/A,"High volume. Direct acquisitions contact. Canadian publisher."
Literary Wanderlust,Traditional,Denver CO,USA,"Romance, erotica, sci-fi, fantasy, mystery, thriller, nonfiction",Susan Brooks,Senior Acquisitions Editor,submissions@literarywanderlust.com,N/A,literarywanderlust.com,"Royalty-paying print and digital publisher. Bridges traditional and self-publishing with higher royalties. 65K-100K word range.","Various 2024-2025 romance, paranormal, romantic suspense, rom-coms, historical romance","Various contemporary romance authors",10-15,NO AUDIOBOOKS,85,TIER 1,linkedin.com/company/literary-wanderlust-llc,"Direct submissions email. Higher royalties model. Multi-genre."
Inkspell Publishing,Traditional,Pinckney MI,USA,"Romance all subgenres, YA, paranormal, sci-fi romance",Staff Team,Acquisitions,Via website,N/A,inkspellpublishing.com,"E-book first romance. Over 100 current releases from YA to Contemporary to Paranormal to Science Fiction Romance. 30K-75K word range.","The Love Burns series: Toasted, Cop-off, Baked (2024) plus upcoming books 4-7 through 2025","Isobel Reed, Connie L. Smith, Elizabeth Arroyo, Liberty Ann Ireland",20-30,NO AUDIOBOOKS,84,TIER 1,N/A,"E-book first = digital native for audio. Series potential."
Cemetery Gates Media,Traditional,Binghamton NY,USA,"Horror, paranormal, fantasy fiction",John Brhel & Joe Sullivan,Co-Founders,cemeterygatesmedia@gmail.com,N/A,cemeterygatesmedia.com,"Founded 2015. Bram Stoker Award-winning titles. Supports debut and established horror authors.","At The Cemetery Gates Volume 2; Tales From Valleyview Cemetery; Her Mourning Portrait and Other Paranormal Oddities","Stephen King, John Connolly, Christopher Golden, Ramsey Campbell",10-15,NO AUDIOBOOKS,87,TIER 1,N/A,"Bram Stoker Award winner. Horror audio booming. Accepts debut novelists with 2+ credits."
Ghost Orchid Press,Traditional,Cambridgeshire,UK,"Horror, Gothic fiction, supernatural",Antonia Rachel Ward & Ed Crocker,EIC/Director & Editor,Via website,N/A,ghostorchidpress.com,"Founded 2021. Contemporary horror and Gothic fiction. Opposes AI-generated content. Emerging voices focus.","Dark Woods Deep Water by Jelena Dunato; Winter Harvest by Ioanna Papadopoulou; The Patron by Antonia Rachel Ward","Antonia Rachel Ward, Ed Crocker, contemporary horror authors",12-18,NO AUDIOBOOKS,86,TIER 1,N/A,"UK Gothic horror. Currently closed to submissions. No AI policy."
Hellbound Books Publishing,Traditional,Houston TX,USA,"Horror, bizarro, dark erotica, dark poetry",James H. Longmore & Xtina Marie,Founder/CEO & Co-Founder/CEO,contact@hellboundbookspublishing.com,N/A,hellboundbookspublishing.com,"Founded 2016. Horror, bizarro, dark erotica, dark poetry. AI-free publication standards. Splatterpunk Award winner 2024.","We're Here: LGBTQ+ Horror Anthology (2024 Splatterpunk Award); Beautiful Tragedies 3; Anthology of Suburban Nightmares","James H. Longmore, Xtina Marie, horror and dark poetry authors",15-20,NO AUDIOBOOKS,88,TIER 1,linkedin.com/company/hellbound-books-publishing-llc,"Splatterpunk Award winner. LGBTQ+ horror anthology. Direct contact email."
Grindhouse Press,Traditional,Yellow Springs OH,USA,"Extreme horror, transgressive fiction, dark experimental",Andersen Prunty & C.V. Hunt,Founder & Current Owner,contact@grindhousepress.com,N/A,grindhousepress.com,"Established 2010. Extreme horror and transgressive fiction. Known for pushing boundaries.","Headless by Scott Cole; I Think I'm Alone Now by Ali Seay; What Ever Happened to Jo Rose? by Chris DiLeo; Dread Ink by Bryan Smith","C.V. Hunt, Andersen Prunty, extreme horror authors",6-12,NO AUDIOBOOKS,84,TIER 1,N/A,"Extreme horror niche. Currently closed to submissions. Cult following."
JournalStone Publishing,Traditional,Carbondale IL,USA,"Science fiction, fantasy, horror, speculative",Christopher C. Payne,President,c.payne@journalstone.com,N/A,journalstone.com,"Founded 2009. SF, Fantasy, Horror. Hosts annual horror novel contest. Novellas and collections.","Netherworld series by Lisa Morton (3 novels); New series by Joe McKinney (3 novels); Lovecraftian anthology series","Joe McKinney, Lisa Morton, Christopher C. Payne, Lovecraft scholars",15-25,NO AUDIOBOOKS,87,TIER 1,linkedin.com/company/journalstone-publishing,"Direct president contact. Horror contest. Speculative focus."
Thunderstorm Books,Traditional,Arizona,USA,"Collectible signed limited edition horror",Paul Goblirsch,Founder,thunderstormbooks@gmail.com,N/A,thunderstormbooks.com,"Established 2008. Signed limited edition hardcover horror. Invitation-only. Major horror authors.","Multiple limited editions by Brian Keene, Joe Lansdale, Philip Fracassi, established horror authors","Brian Keene, Joe Lansdale, Christopher Golden, Philip Fracassi, Tyler Jones, Edward Lee, Paul Tremblay, Jonathan Janz",6-12,NO AUDIOBOOKS,89,TIER 1,N/A,"Invitation-only. Premium collectibles. Major horror author relationships."
Quill & Crow Publishing House,Traditional,Brecksville OH,USA,"Gothic horror, dark fiction, literary horror, Gothic poetry",Cassandra L. Thompson,Publisher/EIC,quillandcrowpublishinghouse@gmail.com,N/A,quillandcrowpublishinghouse.com,"Independent Gothic horror specialist. 100+ short stories. Growing dark novel collection.","Carnival Macabre anthology; Anomalies & Curiosities (10 medically macabre tales)","Cassandra L. Thompson, Catherine Fearns, Jessika Grewe Glover, Harlequin Grim, Krissie K. Williams",15-20,NO AUDIOBOOKS,86,TIER 1,N/A,"Gothic niche. Accepting submissions. Direct publisher contact."
Haunt Publishing,Traditional,Scotland,UK,"Gothic, horror, underrepresented voices",Rebecca Wojturska,Founder,boo@hauntpublishing.com,N/A,hauntpublishing.com,"Founded 2019. Traditional and contemporary Gothic/horror. PhD Gothic literature scholar founder.","Haunted Voices: Gothic Storytelling from Scotland anthology; Where Decay Sleeps by Anna Cheung (Gothic poetry)","Rebecca Wojturska, Anna Cheung, contemporary Scottish horror authors",8-12,NO AUDIOBOOKS,85,TIER 1,linkedin.com/in/rebecca-wojturska-74355335,"PhD scholar founder. Scottish Gothic niche. Accepting submissions."
Bag of Bones Press,Traditional,Bristol,UK,"Horror, dark fiction",SJ Townend,Founder/Editor,contact@bagofbonespress.com,N/A,bagofbonespress.com,"Established Dec 2021. Champions emerging horror writers without formal literary training. Publishes in multiple formats including audiobooks.","206-Word Horror Stories Anthology; Daylight Horror Collection (34 stories); Second Person Horror Vols 1-2 (30 stories)","SJ Townend, emerging UK horror writers",10-15,NO AUDIOBOOKS,87,TIER 1,N/A,"Emerging writers focus. Already does audiobooks - potential partner. Themed anthologies."
